cas,smiles
104-01-8,O=C(O)CC1=CC=C(OC)C=C1
104-53-0,O=CCCC=1C=CC=CC1
104-54-1,OCC=CC=1C=CC=CC1
104-81-4,BrCC1=CC=C(C=C1)C
104-85-8,N#CC1=CC=C(C=C1)C
104-87-0,O=CC1=CC=C(C=C1)C
104-94-9,O(C1=CC=C(N)C=C1)C
105-05-5,C=1C=C(C=CC1CC)CC
105-07-7,N#CC1=CC=C(C=O)C=C1
105-34-0,N#CCC(=O)OC
105-36-2,O=C(OCC)CBr
105-45-3,O=C(OC)CC(=O)C
105-50-0,O=C(OCC)CC(=O)CC(=O)OCC
105-53-3,O=C(OCC)CC(=O)OCC
105-59-9,OCCN(C)CCO
106-31-0,O=C(OC(=O)CCC)CCC
106-37-6,BrC1=CC=C(Br)C=C1
106-40-1,BrC1=CC=C(N)C=C1
106-41-2,BrC1=CC=C(O)C=C1
106-42-3,C=1C=C(C=CC1C)C
106-44-5,OC1=CC=C(C=C1)C
106-47-8,ClC1=CC=C(N)C=C1
106-49-0,NC1=CC=C(C=C1)C
106-50-3,NC1=CC=C(N)C=C1
106-51-4,O=C1C=CC(=O)C=C1
106-89-8,ClCC1OC1
106-93-4,BrCCBr
106-95-6,BrCC=C
106-96-7,BrCC#C
106-99-0,C=CC=C
107-06-2,ClCCCl
107-07-3,ClCCO
107-11-9,C=CCN
107-12-0,N#CCC
107-15-3,NCCN
107-18-6,OCC=C
107-19-7,C#CCO
107-21-1,OCCO
107-22-2,O=CC=O
107-29-9,ON=CC
107-30-2,ClCOC
107-88-0,OCCC(O)C
107-92-6,O=C(O)CCC
107-95-9,O=C(O)CCN
107-98-2,OC(C)COC
108-01-0,OCCN(C)C
108-03-2,O=N(=O)CCC
108-05-4,O=C(OC=C)C
108-18-9,N(C(C)C)C(C)C
108-20-3,O(C(C)C)C(C)C
108-24-7,O=C(OC(=O)C)C
108-30-5,O=C1OC(=O)CC1
108-31-6,O=C1OC(=O)C=C1
108-36-1,BrC1=CC=CC(Br)=C1
108-38-3,C=1C=C(C=C(C1)C)C
